owner,repo,exists,log_count 
nitrologic,fountain,yes,https://github.com/blitz-research/libsgd.git
nitrologic,forge,yes,https://github.com/nitrologic/fountain.git
nitrologic,foundry,yes,https://github.com/nitrologic/forge.git
nitrologic,roha,yes,https://github.com/nitrologic/foundry.git
nitrologic,biblispec,yes,https://github.com/nitrologic/roha.git
nitrologic,dsptool,yes,https://github.com/nitrologic/biblispec.git
nitrologic,dspstudio,yes,https://github.com/nitrologic/dsptool.git
nitrologic,vsynth,yes,https://github.com/nitrologic/dspstudio.git
nitrologic,freeaudio,yes,https://github.com/nitrologic/vsynth.git
nitrologic,miditool,yes,https://github.com/nitrologic/freeaudio.git
nitrologic,audiotool,yes,https://github.com/nitrologic/miditool.git
nitrologic,libcec,yes,https://github.com/nitrologic/audiotool.git
nitrologic,yaroze,yes,https://github.com/nitrologic/libcec.git
nitrologic,acidvm,yes,https://github.com/nitrologic/yaroze.git
nitrologic,picotool,yes,https://github.com/nitrologic/acidvm.git
nitrologic,skid30,yes,https://github.com/nitrologic/picotool.git
nitrologic,stereobasic,yes,https://github.com/nitrologic/skid30.git
nitrologic,ninjakiwi,yes,https://github.com/nitrologic/stereobasic.git
nitrologic,loadrite,yes,https://github.com/nitrologic/ninjakiwi.git
nitrologic,fusion,yes,https://github.com/nitrologic/loadrite.git
nitrologic,nextspace,yes,https://github.com/nitrologic/fusion.git
nitrologic,roa,yes,https://github.com/nitrologic/nextspace.git
nitrologic,roanz,yes,https://github.com/nitrologic/roa.git
nitrologic,roagrid,yes,https://github.com/nitrologic/roanz.git
nitrologic,skidroa,yes,https://github.com/nitrologic/roagrid.git
nitrologic,tileshop,yes,https://github.com/nitrologic/skidroa.git
nitrologic,bakery,yes,https://github.com/nitrologic/tileshop.git
nitrologic,pipeline,yes,https://github.com/nitrologic/bakery.git
nitrologic,pipeline2,yes,https://github.com/nitrologic/pipeline.git
nitrologic,stage,yes,https://github.com/nitrologic/pipeline2.git
nitrologic,stage2,yes,https://github.com/nitrologic/stage.git
nitrologic,stage3,yes,https://github.com/nitrologic/stage2.git
nitrologic,stage4,yes,https://github.com/nitrologic/stage3.git
nitrologic,blitz2,yes,https://github.com/nitrologic/stage4.git
nitrologic,blitz3d,yes,https://github.com/nitrologic/blitz2.git
nitrologic,steamstub,yes,https://github.com/nitrologic/blitz3d.git
