owner,repo,exists,size_bytes,files
nitrologic,fountain,yes,29274112,158
nitrologic,forge,yes,7200768,37
nitrologic,foundry,yes,516096,26
nitrologic,roha,yes,1236992,28
nitrologic,biblispec,yes,364544,7
nitrologic,dsptool,yes,268763136,1628
nitrologic,dspstudio,yes,7647232,262
nitrologic,vsynth,yes,1024000,11
nitrologic,freeaudio,yes,290816,14
nitrologic,miditool,yes,3817472,73
nitrologic,audiotool,yes,221184,7
nitrologic,yaroze,yes,2244608,235
nitrologic,acidvm,yes,23830528,608
nitrologic,picotool,yes,593920,32
nitrologic,skid30,yes,128868352,814
nitrologic,stereobasic,yes,77848576,99
nitrologic,fusion,yes,252895232,538
nitrologic,nextspace,yes,292343808,2358
nitrologic,roa,yes,115281920,1088
nitrologic,roanz,yes,614400,19
nitrologic,roagrid,yes,54325248,9
nitrologic,skidroa,yes,20107264,1017
nitrologic,tileshop,yes,36429824,1001
nitrologic,bakery,yes,430080,17
nitrologic,pipeline,yes,285458432,2220
nitrologic,pipeline2,yes,14307328,710
nitrologic,stage,yes,94621696,4123
nitrologic,stage2,yes,18952192,156
nitrologic,stage3,yes,62550016,3850
nitrologic,stage4,yes,6361088,20
nitrologic,blitz2,yes,49418240,3053
nitrologic,blitz3d,yes,6217728,83
nitrologic,steamstub,yes,225280,5
nitrologic,blitzmax20,yes,200704,2
nitrologic,blitzmax-dpi-denial,yes,91774976,2516
nitrologic,maxide,yes,2195456,36
nitrologic,maxgui2.mod,yes,2338816,168
nitrologic,monkey2,yes,321560576,2349
nitrologic,m2,yes,342376448,2044
nitrologic,mx2,yes,196608,1
nitrologic,mx2core,yes,3289088,339
nitrologic,mx2mojo,yes,163348480,2644
nitrologic,mojo3d-vr,yes,4730880,25
nitrologic,mojolab,yes,26800128,12
nitrologic,mojolabs,yes,134967296,71
nitrologic,bbcom,yes,68755456,4176
nitrologic,glTF,yes,131411968,251
nitrologic,nitrologic.github.io,yes,21786624,32
nitrologic,nitrologic,yes,196608,1
nitrologic,plainview,yes,3383296,42
nitrologic,acid8,yes,331010048,62
nitrologic,worldbody,yes,274432,10
nitrologic,bbarchives,yes,484163584,5827
nitrologic,skidnz,yes,331776,4
nitrologic,plainhost,yes,274432,10
nitrologic,mobstar,yes,217088,5
nitrologic,waveform,yes,303104,8
nitrologic,itouch,yes,552960,33
nitrologic,touch,yes,4538368,47
nitrologic,postphysics,yes,204800,2
nitrologic,voxel-model,yes,311242752,101
nitrologic,acid,yes,261980160,4543
nitrologic,asmcoder,yes,221184,4
nitrologic,diversity,yes,11575296,80
nitrologic,wasted,yes,510025728,5893
nitrologic,wire,yes,221528064,761
nitrologic,space,yes,17612800,81
nitrologic,vector0,yes,438272,36
nitrologic,studio,yes,70565888,122
nitrologic,nod,yes,196608,1
nitrologic,grid,yes,1921024,65
nitrologic,score,yes,221184,5
nitrologic,nitro,yes,124674048,2288
nitrologic,scout,yes,1970176,42
nitrologic,simon,yes,982867968,12430
nitrologic,drawline,yes,397312,16
nitrologic,basement,yes,12021760,68
nitrologic,geom,yes,10768384,84
nitrologic,acidpd,yes,26845184,2006
nitrologic,axe.mod,yes,37822464,593
nitrologic,mod,yes,102162432,4774
nitrologic,n3d,yes,225280,3
nitrologic,nitrovr,yes,196608,1
nitrologic,winmain,yes,7380992,160
nitrologic,shape,yes,294912,4
nitrologic,nitrotoken,yes,282624,13
nitrologic,nano,yes,20373504,542
nitrologic,sphinx,yes,950272,52
nitrologic,media,yes,77201408,23
nitrologic,ffmpeg,yes,401104896,6125
nitrologic,nitrosdk,yes,33550336,661
nitrologic,nitrojs,yes,39763968,1200
nitrologic,emu,yes,113782784,3773
nitrologic,nitroclient,yes,15777792,130
nitrologic,nitrodocs,yes,200704,2
nitrologic,abc,yes,4431872,321
blitz-research,blitzmax,yes,82501632,2272
blitz-research,libsgd,yes,3149824,442
